t,phi
8.56e-08,0.1661216
8.57e-08,-0.03272719
8.58e-08,0.3025774
8.590000000000001e-08,0.1473613
8.6e-08,0.05753183
8.61e-08,-0.007345152
8.62e-08,0.05889139
8.63e-08,0.05951656
8.64e-08,0.08202379
8.65e-08,0.1440419
8.660000000000001e-08,0.1648669
8.67e-08,0.1430788
8.680000000000001e-08,-0.04023952
8.69e-08,-0.001756072
8.7e-08,0.02583656
8.71e-08,-0.03335516
8.72e-08,0.2411356
8.730000000000001e-08,0.1705927
8.74e-08,0.05688288
8.750000000000001e-08,0.058621
8.76e-08,-0.09921034
8.77e-08,0.1106097
8.78e-08,0.1886705
8.79e-08,0.07282893
8.800000000000001e-08,-0.09270442
8.81e-08,0.1816698
8.820000000000001e-08,0.1883812
8.83e-08,0.06011195
8.84e-08,0.1662428
8.85e-08,0.0193736
8.86e-08,-0.0962828
8.870000000000001e-08,-0.01458959
8.88e-08,0.04053983
8.890000000000001e-08,0.1082707
8.9e-08,0.05152095
8.91e-08,0.1821574
8.92e-08,0.01026017
8.93e-08,0.09622876
8.94e-08,0.1014357
8.95e-08,0.1454223
8.960000000000001e-08,0.01698276
8.97e-08,0.02763282
8.98e-08,0.05820581
8.99e-08,0.08826065
9e-08,0.1137851
9.01e-08,0.08016714
9.02e-08,-0.02052423
9.030000000000001e-08,0.2210428
9.04e-08,0.1877525
9.050000000000001e-08,-0.07637867
9.06e-08,0.2371782
9.07e-08,0.1119788
9.08e-08,0.07125328
9.09e-08,0.12985
9.100000000000001e-08,0.1790021
9.11e-08,0.1087488
9.120000000000001e-08,-0.05638776
9.13e-08,0.1447403
9.14e-08,0.2284123
9.15e-08,0.07445358
9.16e-08,0.1232089
9.170000000000001e-08,0.07110042
9.18e-08,-0.07793539
9.190000000000001e-08,0.02670025
9.2e-08,0.1108275
9.21e-08,0.08831324
9.22e-08,-0.01200986
9.23e-08,0.1663925
9.240000000000001e-08,0.01904454
9.25e-08,0.03416188
9.260000000000001e-08,0.1230287
9.27e-08,0.02501339
9.28e-08,0.06787401
9.29e-08,-0.02850379
9.3e-08,0.005608824
9.31e-08,0.08243658
9.32e-08,0.2984499
9.330000000000001e-08,0.03719836
9.34e-08,0.09951258
9.35e-08,0.2097906
9.36e-08,0.1989252
9.37e-08,0.2200821
9.38e-08,0.129759
9.39e-08,0.1516097
9.400000000000001e-08,0.3399188
9.41e-08,-0.01693172
9.420000000000001e-08,0.2055645
9.43e-08,0.1069181
9.44e-08,-0.01083066
9.45e-08,0.1276054
9.46e-08,0.1035182
9.470000000000001e-08,0.0358193
9.48e-08,0.1923312
9.490000000000001e-08,-0.01846304
9.5e-08,0.1650677
9.51e-08,0.04906145
9.52e-08,0.05752946
9.53e-08,-0.01185547
9.540000000000001e-08,0.04109891
9.55e-08,0.1697538
9.560000000000001e-08,0.04594022
9.57e-08,0.0558963
9.58e-08,0.04124319
9.59e-08,-0.06527928
9.6e-08,0.0145086
9.610000000000001e-08,0.06475279
